brand,kilometers,model,transmission,year
Toyota,42000.0,Fortuner,Automática,2018.0
Kia,37000.0,Sportage,Automática,2018.0
Hyundai,25000.0,NEW TUCSON,Mecánica,2018.0
Mazda,52211.0,2,Mecánica,2018.0
Nissan,31000.0,Kicks,Automática,2018.0
Volkswagen,49000.0,Gol,Mecánica,2018.0
Nissan,30000.0,Qashqai,Automática,2018.0
Ford,68000.0,Ecosport,Mecánica,2018.0
Jeep,21000.0,Wrangler,Automática,2018.0
BMW,25626.0,X6,Automática,2018.0
BMW,51000.0,X4,Automática,2018.0
Ford,45530.0,Raptor,Automática,2018.0
Hyundai,7800.0,New Tucson,Automática,2018.0
Mazda,36833.0,3,Automática,2018.0
Mercedes-Benz,26000.0,Clase GLA,Automática,2018.0
Mazda,38949.0,3,Automática,2018.0
Mitsubishi,34000.0,Montero,Automática,2018.0
Mazda,70000.0,2,Automática,2018.0
Chevrolet,31000.0,Sonic,Mecánica,2018.0
Chevrolet,70000.0,Equinox,Automática,2018.0
Nissan,51500.0,Kicks,Mecánica,2018.0
Kia,22000.0,Rio,Automática,2018.0
Nissan,51500.0,Kicks,Mecánica,2018.0
Chevrolet,38715.0,N300,Mecánica,2018.0
Kia,32000.0,Picanto,Automática,2018.0
Toyota,60000.0,Hilux,Mecánica,2018.0
Nissan,54000.0,Qashqai,Automática,2018.0
Volkswagen,46000.0,Saveiro,Mecánica,2018.0
Nissan,75329.0,Frontier,Automática,2018.0
Chevrolet,52000.0,Spark GT,Mecánica,2018.0
Peugeot,23457.0,2008,Automática,2018.0
Mazda,62000.0,CX-5,Automática,2018.0
Nissan,30830.0,Leaf,Automática,2018.0
Nissan,79000.0,FRONTIER NP300 4x4,Mecánica,2018.0
Nissan,57000.0,Frontier,Mecánica,2018.0
Toyota,43705.0,Prado,Automática,2018.0
Nissan,62000.0,Frontier,Mecánica,2018.0
BMW,27700.0,Serie 5,Automática,2018.0
Mercedes-Benz,9800.0,Clase A,Automática,2018.0
Mercedes-Benz,28300.0,Clase A,Automática,2018.0
Chevrolet,55000.0,Spark GT,Mecánica,2018.0
Renault,40000.0,Logan,Mecánica,2018.0
Chevrolet,45000.0,N300,Mecánica,2018.0
Renault,15000.0,Logan,Mecánica,2018.0
Hyundai,16000.0,Veloster,Mecánica,2018.0
BMW,68900.0,Serie 3,Automática,2018.0
Mazda,40300.0,BT-50,Mecánica,2018.0
Chevrolet,48424.0,Tracker,Automática,2018.0
Ford,30900.0,Explorer,Automática,2018.0
Toyota,40550.0,RAV4,Automática,2018.0
Renault,72560.0,Sandero,Automática,2018.0
Ford,50000.0,Escape,Automática,2018.0
Kia,20000.0,Picanto,Mecánica,2018.0
Volkswagen,33123.0,Gol,Mecánica,2018.0
Kia,25400.0,Rio,Mecánica,2018.0
Ford,56000.0,Explorer,Automática,2018.0
Mitsubishi,22000.0,Sportero,Mecánica,2018.0
Toyota,61000.0,Hilux,Mecánica,2018.0
Ford,52300.0,Ecosport 2,Automática,2018.0
Kia,45000.0,NEW SPORTAGE,Mecánica,2018.0
Kia,42000.0,Sportage,Automática,2018.0
Volkswagen,24000.0,Gol,Mecánica,2018.0
Renault,49000.0,Logan,Mecánica,2018.0
BMW,10900.0,Serie 3,Automática,2018.0
Volkswagen,37000.0,Crossfox,Automática,2018.0
Chevrolet,60700.0,Spark,Mecánica,2018.0
Mercedes-Benz,29522.0,Clase CLA,Automática,2018.0
Nissan,41800.0,Qashqai,Automática,2018.0
Renault,48000.0,Sandero,Mecánica,2018.0
Volkswagen,4490000.0,Gol,Mecánica,2018.0
Chevrolet,25000.0,Spark GT,Mecánica,2018.0
Kia,55000.0,Sportage,Automática,2018.0
Chevrolet,37000.0,2018,Mecánica,2018.0
