brand,kilometers,model,transmission,year
82,36500.0,591,1,2018.0
89,36000.0,1193,3,2018.0
172,95000.0,800,1,2018.0
25,26000.0,1261,3,2018.0
130,19990.0,99,3,2018.0
25,73000.0,928,3,2018.0
145,88000.0,932,1,2018.0
172,55000.0,1116,1,2018.0
50,42000.0,678,3,2018.0
25,37000.0,1354,3,2018.0
130,58000.0,870,1,2018.0
89,44000.0,1106,3,2018.0
180,45000.0,753,3,2018.0
180,23000.0,1570,1,2018.0
180,40500.0,753,1,2018.0
83,17000.0,1585,1,2018.0
117,70000.0,136,1,2018.0
172,42000.0,1116,1,2018.0
184,33000.0,1530,1,2018.0
50,41000.0,678,3,2018.0
117,69000.0,397,1,2018.0
180,77000.0,753,1,2018.0
89,68800.0,1106,3,2018.0
172,53000.0,691,1,2018.0
72,35000.0,1575,3,2018.0
117,41200.0,397,1,2018.0
145,42400.0,932,1,2018.0
25,393000.0,93,3,2012.0
130,147000.0,1460,3,2012.0
137,170000.0,172,3,2012.0
145,135000.0,1516,3,2012.0
145,64000.0,1288,3,2012.0
89,85000.0,1106,3,2012.0
145,125000.0,932,3,2012.0
25,90000.0,1354,3,2012.0
74,122000.0,1291,3,2012.0
180,295000.0,1502,3,2012.0
145,83000.0,1288,3,2012.0
130,100500.0,1463,3,2012.0
137,52000.0,147,1,2012.0
25,158000.0,281,3,2012.0
58,84000.0,1545,3,2012.0
145,139000.0,932,3,2012.0
25,296000.0,544,3,2012.0
25,125000.0,1083,3,2012.0
130,140000.0,1591,3,2012.0
89,116000.0,361,3,2012.0
172,116200.0,800,3,2012.0
22,150000.0,1646,3,2012.0
25,92535.0,409,3,2012.0
130,160000.0,543,3,2012.0
50,84000.0,709,1,2012.0
193,218633.0,1062,3,2012.0
117,127000.0,70,3,2012.0
89,106000.0,1193,3,2012.0
8,51000.0,1315,1,2012.0
74,92000.0,1434,3,2012.0
130,85000.0,1460,3,2012.0
117,139000.0,136,3,2012.0
43,112000.0,850,1,2012.0
130,68955.0,1230,3,2012.0
74,49000.0,809,3,2012.0
123,81400.0,464,1,2012.0
25,97000.0,1354,3,2012.0
43,93000.0,850,3,2012.0
25,128000.0,250,3,2012.0
25,59000.0,281,3,2012.0
3,89000.0,242,1,2012.0
89,154000.0,1380,3,2012.0
117,107500.0,136,1,2012.0
180,47800.0,753,1,2018.0
12,56000.0,947,3,2018.0
25,100000.0,1354,3,2018.0
25,39500.0,1362,1,2018.0
89,48000.0,1193,3,2018.0
172,30000.0,1520,1,2018.0
117,44.0,70,1,2018.0
145,47000.0,932,1,2018.0
20,78000.0,991,3,2018.0
3,19500.0,1135,1,2018.0
89,49000.0,1193,3,2018.0
25,5560.0,1481,3,2018.0
117,60000.0,397,1,2018.0
25,55000.0,1362,1,2018.0
138,74000.0,99,3,2018.0
180,29800.0,753,3,2018.0
145,75000.0,1395,3,2018.0
130,47000.0,972,1,2018.0
25,43000.0,1336,3,2018.0
81,60000.0,919,3,2018.0
89,45000.0,1193,3,2018.0
117,57000.0,136,1,2018.0
25,51500.0,1354,3,2018.0
130,51000.0,972,1,2018.0
50,31000.0,678,1,2018.0
25,48500.0,1354,3,2018.0
117,24568.0,136,1,2018.0
117,54588.0,136,1,2018.0
117,60000.0,397,1,2018.0
180,48000.0,753,1,2018.0
145,63000.0,1288,3,2018.0
145,53000.0,932,1,2018.0
180,45000.0,753,1,2018.0
117,51000.0,136,1,2018.0
25,71000.0,1261,1,2018.0
50,32000.0,678,1,2018.0
145,94800.0,1288,1,2018.0
180,18600.0,528,3,2018.0
43,42800.0,850,1,2018.0
165,45000.0,1407,3,2018.0
117,40000.0,136,1,2018.0
117,37000.0,136,1,2018.0
130,148000.0,704,3,2018.0
89,50000.0,1106,3,2018.0
3,20000.0,1135,1,2018.0
130,80000.0,972,1,2018.0
117,66.0,397,1,2018.0
50,83000.0,678,3,2012.0
172,154000.0,511,3,2012.0
145,58800.0,1288,3,2012.0
145,139000.0,1395,3,2012.0
145,105000.0,872,3,2012.0
25,94787.0,1362,3,2012.0
25,89500.0,410,1,2012.0
